utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,,,,,,,
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,24,0,16399,3.10364E+14,27,27.7,603.6781616,0.688999951,16,0,0,1.58E+09,0,0,0,0,0,1,-0.08,24.1,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,32,0,16399,3.10364E+14,10,37.7,-135.3214417,0.043400001,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.08,34.1,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,196,0,16399,3.10364E+14,16,33.5,-160.3464661,0.0744,16,0,1902.917734,1.58E+09,0,0,0,0,0,4,-0.08,29.9,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,3,0,49359,6.19463E+13,35,26.9,141.5820923,0.948999941,16,0,0,1.60E+09,0,0,0,0,0,3,-0.12,22.9,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,4,0,49359,6.19463E+13,35,26.6,-77.3302536,0.953499973,16,0,0,1.61E+09,0,0,0,0,0,3,-0.12,22.6,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,16,0,16399,3.1035E+14,17,32.7,45.31108856,0.044300001,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,28.4,-1530.425293,22.10440636,0,0,I,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,14,0,16399,3.1035E+14,27,28.6,222.1704865,0.625500023,16,0,0,1.56E+09,0,0,0,0,0,5,0.85,24.3,-1530.425293,22.10440636,0,0,I,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,13,0,16399,3.1035E+14,11,37.3,-133.5250549,0.319999993,16,0,0,1.56E+09,0,0,0,0,0,5,0.85,33,-1530.425293,22.10440636,0,0,I,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,8,0,16399,3.1035E+14,12,36.6,-102.7483444,0.037500001,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,32.3,-1530.425293,22.10440636,0,0,I,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,6,0,16399,3.1035E+14,61,22.4,6.923023224,1.011500001,16,0,0,1.56E+09,0,0,0,0,0,5,0.85,18.1,-1530.425293,22.10440636,0,0,I,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,4,0,23567,3.10364E+14,24,29.6,264.8976746,0.119499996,16,0,1902.917734,1.58E+09,0,0,0,0,0,6,0,25.3,-1449.251953,17.45754242,0,0,C,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,5,0,23567,3.10364E+14,31,27.7,-156.8971252,0.693499982,16,0,0,1.58E+09,0,0,0,0,0,6,0,23.4,-1449.251953,17.45754242,0,0,C,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,9,0,23567,3.10364E+14,14,34.3,90.5553894,0.050000001,16,0,1902.917734,1.58E+09,0,0,0,0,0,6,0,30,-1449.251953,17.45754242,0,0,C,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,36,0,23567,3.10364E+14,8,40.3,-121.3953552,0.045200001,16,0,1902.917734,1.58E+09,0,0,0,0,0,6,0,36,-1449.251953,17.45754242,0,0,C,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,10,0,16399,3.10365E+14,14,34.4,-469.9066162,0.048500001,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.16,30.8,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,23,0,16399,3.10365E+14,11,37.3,-174.2706451,0.024700001,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.16,33.7,0,0,0,0,C,3.79875E+15
